,PC1,PC2,PC3
M1-M2,0.8084128047533835,0.5891456255020322,-0.014450208638554498
M2-M3,0.9657309254139174,-0.21231141287637198,0.1520535534893182
M3-M4,0.9479637752664795,-0.2861260919078923,-0.14258043266574572
