,M1_M2_spread,M2_M3_spread,M3_M4_spread
M1_M2_spread,1.0,0.6528860816194387,0.5993374040013613
M2_M3_spread,0.6528860816194387,1.0,0.9537517759653593
M3_M4_spread,0.5993374040013613,0.9537517759653593,1.0
