,M1_M2_spread,M2_M3_spread,M3_M4_spread
M1_M2_spread,1.0,0.9378926386907023,0.90364974406205
M2_M3_spread,0.9378926386907023,1.0,0.9648626978829941
M3_M4_spread,0.90364974406205,0.9648626978829941,1.0
