trade_date,M1_price,M2_price,M3_price,M4_price,M1_M2_spread,M2_M3_spread,M3_M4_spread,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2020-10-19,6758.75,6771.75,6776.0,6779.5,-13.0,-4.25,-3.5,0.08333333333333326,0.41666666666666674,1.0
2020-10-21,6989.25,6992.25,6994.5,6993.25,-3.0,-2.25,1.25,-0.7692307692307692,-0.47058823529411764,-1.4545454545454546
2020-10-22,6917.5,6921.0,6925.0,6925.25,-3.5,-4.0,-0.25,0.16666666666666674,0.7777777777777777,-1.2
2020-10-23,6861.75,6865.5,6869.75,6870.75,-3.75,-4.25,-1.0,0.0714285714285714,0.0625,3.0
2020-10-26,6772.75,6777.0,6781.75,6784.25,-4.25,-4.75,-2.5,0.1333333333333333,0.11764705882352944,1.5
2020-10-27,6790.0,6794.5,6798.5,6801.0,-4.5,-4.0,-2.5,0.05882352941176472,-0.1578947368421053,0.0
2020-10-28,6740.5,6744.5,6747.75,6751.25,-4.0,-3.25,-3.5,-0.11111111111111116,-0.1875,0.3999999999999999
2020-10-29,6724.0,6726.0,6729.0,6732.5,-2.0,-3.0,-3.5,-0.5,-0.07692307692307687,0.0
2020-10-30,6713.75,6714.75,6717.75,6721.5,-1.0,-3.0,-3.75,-0.5,0.0,0.0714285714285714
2020-11-02,6757.0,6759.0,6761.0,6764.25,-2.0,-2.0,-3.25,1.0,-0.33333333333333337,-0.1333333333333333
2020-11-03,6810.25,6813.0,6815.0,6818.25,-2.75,-2.0,-3.25,0.375,0.0,0.0
2020-11-04,6831.0,6834.5,6836.25,6840.0,-3.5,-1.75,-3.75,0.2727272727272727,-0.125,0.15384615384615374
2020-11-05,6844.25,6848.25,6850.75,6855.0,-4.0,-2.5,-4.25,0.1428571428571428,0.4285714285714286,0.1333333333333333
2020-11-06,6936.25,6940.75,6944.5,6949.0,-4.5,-3.75,-4.5,0.125,0.5,0.05882352941176472
2020-11-09,6904.5,6909.0,6913.5,6917.0,-4.5,-4.5,-3.5,0.0,0.19999999999999996,-0.2222222222222222
2020-11-10,6915.25,6923.0,6928.75,6933.0,-7.75,-5.75,-4.25,0.7222222222222223,0.2777777777777777,0.2142857142857142
2020-11-11,6868.75,6876.25,6881.5,6885.5,-7.5,-5.25,-4.0,-0.032258064516129004,-0.08695652173913049,-0.05882352941176472
2020-11-12,6916.75,6925.75,6930.75,6934.0,-9.0,-5.0,-3.25,0.19999999999999996,-0.04761904761904767,-0.1875
2020-11-13,6966.75,6975.25,6979.25,6982.75,-8.5,-4.0,-3.5,-0.05555555555555558,-0.19999999999999996,0.07692307692307687
2020-11-16,7092.75,7101.75,7104.75,7108.0,-9.0,-3.0,-3.25,0.05882352941176472,-0.25,-0.0714285714285714
2020-11-18,7082.0,7086.5,7090.75,7094.5,-4.5,-4.25,-3.75,-0.5,0.0,-0.11764705882352944
2020-11-19,7086.75,7091.25,7095.5,7099.25,-4.5,-4.25,-3.75,0.0,0.0,0.0
2020-11-20,7271.5,7276.25,7280.25,7283.0,-4.75,-4.0,-2.75,0.05555555555555558,-0.05882352941176472,-0.2666666666666667
2020-11-23,7170.5,7175.5,7179.5,7183.5,-5.0,-4.0,-4.0,0.05263157894736836,0.0,0.4545454545454546
2020-11-24,7286.25,7291.75,7295.25,7298.75,-5.5,-3.5,-3.5,0.10000000000000009,-0.125,-0.125
2020-11-25,7291.0,7298.0,7301.75,7306.0,-7.0,-3.75,-4.25,0.2727272727272727,0.0714285714285714,0.2142857142857142
2020-11-26,7393.75,7400.5,7403.75,7406.75,-6.75,-3.25,-3.0,-0.0357142857142857,-0.1333333333333333,-0.2941176470588235
2020-11-27,7493.25,7498.75,7501.5,7503.5,-5.5,-2.75,-2.0,-0.18518518518518523,-0.15384615384615385,-0.33333333333333337
2020-11-30,7573.75,7578.75,7582.0,7584.0,-5.0,-3.25,-2.0,-0.09090909090909094,0.18181818181818188,0.0
2020-12-01,7688.0,7692.5,7695.5,7697.5,-4.5,-3.0,-2.0,-0.09999999999999998,-0.07692307692307687,0.0
2020-12-02,7668.0,7670.75,7673.5,7675.5,-2.75,-2.75,-2.0,-0.38888888888888884,-0.08333333333333337,0.0
2020-12-03,7671.25,7672.25,7674.5,7676.5,-1.0,-2.25,-2.0,-0.6363636363636364,-0.18181818181818177,0.0
2020-12-04,7753.75,7755.75,7759.5,7761.75,-2.0,-3.75,-2.25,1.0,0.6666666666666667,0.125
2020-12-07,7697.75,7702.25,7707.75,7711.0,-4.5,-5.5,-3.25,1.25,0.46666666666666656,0.4444444444444444
2020-12-08,7681.5,7689.0,7695.5,7700.0,-7.5,-6.5,-4.5,0.6666666666666667,0.18181818181818188,0.3846153846153846
2020-12-09,7707.5,7713.5,7719.75,7723.5,-6.0,-6.25,-3.75,-0.19999999999999996,-0.038461538461538436,-0.16666666666666663
2020-12-10,7861.75,7869.75,7875.0,7877.75,-8.0,-5.25,-2.75,0.33333333333333326,-0.16000000000000003,-0.2666666666666667
2020-12-11,7755.5,7764.0,7769.0,7772.25,-8.5,-5.0,-3.25,0.0625,-0.04761904761904767,0.18181818181818188
2020-12-14,7729.0,7741.5,7746.5,7750.5,-12.5,-5.0,-4.0,0.47058823529411775,0.0,0.23076923076923084
2020-12-16,7827.75,7831.5,7835.25,7835.0,-3.75,-3.75,0.25,-0.7,0.0714285714285714,-1.0769230769230769
2020-12-17,7912.25,7915.75,7920.0,7919.5,-3.5,-4.25,0.5,-0.06666666666666665,0.1333333333333333,1.0
2020-12-18,7980.25,7983.5,7987.0,7986.0,-3.25,-3.5,1.0,-0.0714285714285714,-0.17647058823529416,1.0
2020-12-21,7840.05,7843.8,7848.2,7848.75,-3.75,-4.399999999999636,-0.5500000000001819,0.15384615384615374,0.2571428571427532,-1.550000000000182
2020-12-22,7738.55,7743.55,7748.3,7748.75,-5.0,-4.75,-0.4499999999998181,0.33333333333333326,0.07954545454554385,-0.18181818181878318
2020-12-23,7838.5,7843.0,7846.25,7846.25,-4.5,-3.25,0.0,-0.09999999999999998,-0.3157894736842105,-1.0
2020-12-24,7782.25,7786.75,7790.0,7790.5,-4.5,-3.25,-0.5,0.0,0.0,-inf
2020-12-29,7856.7,7859.25,7861.75,7862.0,-2.550000000000182,-2.5,-0.25,-0.43333333333329294,-0.23076923076923073,-0.5
2020-12-30,7842.0,7844.75,7848.5,7850.0,-2.75,-3.75,-1.5,0.07843137254894272,0.5,5.0
2020-12-31,7757.75,7761.75,7766.75,7768.75,-4.0,-5.0,-2.0,0.4545454545454546,0.33333333333333326,0.33333333333333326
2021-01-04,7850.75,7855.0,7859.25,7862.0,-4.25,-4.25,-2.75,0.0625,-0.15000000000000002,0.375
