trade_date,M1-M2_volatility,M2-M3_volatility,M3-M4_volatility
2020-07-07,130.52983009652186,205.9437512367876,70.38539766989015
2020-07-08,178.64077674103797,205.19018329932464,68.3304362399546
2020-07-10,171.41816602322206,136.4862793872965,47.759806789808536
2020-07-13,363.25833687658996,172.9707786056838,59.621034887663974
2020-07-16,273.1873550663793,145.23233275170918,46.473953249614084
2020-07-17,302.1884589531388,367.8696465261891,97.48763173026762
2020-07-20,207.2807459204508,299.1851188012493,72.01632523333643
2020-07-21,139.74959329022212,244.62466055544056,64.64758382221368
2020-07-22,93.63805789179557,199.48646697196108,55.07749262751363
2020-07-23,74.97435249087334,162.14539599062547,49.48929289745247
2020-07-24,65.42759546085581,132.1351087407755,50.85390187233764
2020-07-27,53.88000070322879,114.32299260934303,42.7444792201157
2020-07-28,76.41599939419822,137.84458132836863,73.53145013985016
2020-07-29,86.58322128082159,266.47246541118545,114.60457264628599
2020-07-30,59.532575285861164,220.56705226071375,91.48369638593103
2020-07-31,93.76318691867856,180.31251381302178,67.52378731824929
2020-08-03,63.522115203872296,146.56739440504325,48.088233313277925
2020-08-04,44.02330635446775,120.00979650726875,52.97325869193543
2020-08-05,53.40925901331172,113.9887217118217,136.3162466404249
2020-08-06,52.467720520187996,115.56342278299697,112.60832007566243
2020-08-07,55.83286378984986,101.10816572227336,141.4740384205208
2020-08-10,49.02750070778907,127.76055164893526,113.02595845862274
2020-08-11,54.748569173369184,103.87425476611338,86.18650561252588
2020-08-12,58.94709838323272,103.08849452489633,69.39527853943288
2020-08-13,157.3469381800406,93.6657897660627,57.114924363618606
2020-08-14,119.18317089574293,,57.12669832352483
2020-08-17,94.3348836690151,111.76939384766528,69.73757039067536
2020-08-20,86.00994007475025,93.44949646154674,208.17172187856275
2020-08-21,60.51188440797478,77.34659121230631,144.31858974110125
2020-08-24,43.847330830141274,62.95468320498853,105.16096960419398
2020-08-25,48.08970778651394,60.300655027494344,97.36275901142326
2020-08-26,47.511124271363016,52.205942216938666,75.77071722633593
2020-08-27,120.5324797614129,46.723770804218056,121.83004584963619
2020-08-28,83.95276386604574,38.1013994018014,91.98078304502441
2020-09-01,69.02739917031312,31.13675889801511,74.16879096503615
2020-09-02,57.84734729117862,26.171328462533264,63.93445777514786
2020-09-03,47.70593716118105,35.638911005628636,
2020-09-04,37.560322314818805,29.13356721501629,100.72558631603604
2020-09-07,36.35878652230324,30.719673964335712,140.89275996427642
2020-09-08,30.173262697770916,25.30948684030113,102.5320442718782
2020-09-09,31.931566894946442,27.88920803860025,77.0082461805038
2020-09-10,26.092885841062596,22.915767707833467,54.53684201840114
2020-09-11,19.945342844771428,18.887830037289948,39.207133766674964
2020-09-14,299.9608574645592,16.888444491779154,47.5600787089257
2020-09-17,213.74449483105465,18.577247690957343,41.51536881619345
2020-09-18,145.68483621314758,15.76235570651886,30.229662642841372
2020-09-21,103.2537937008404,13.625305200841364,34.24649081177543
2020-09-22,75.16955328780186,13.637430783525943,32.557404002173264
2020-09-23,55.58375698517694,11.428531475801604,25.112777645949333
2020-09-24,66.12756115122072,28.091053893008247,62.925560859900195
2020-09-25,89.19304139883803,46.62678277141502,54.96243530461171
2020-09-28,158.6342043540009,75.9794604993277,
2020-09-29,2059.8337539323575,288.45807776162644,115.65278003296399
2020-09-30,1210.7185813119102,284.8399003978522,111.8585887652351
2020-10-01,776.6308035561457,233.94983929524744,
2020-10-02,726.2933007120974,267.7040053431796,192.84850867250324
2020-10-05,472.09300257760566,249.33904217981296,190.21447128052358
2020-10-06,597.3289218230751,380.2490498775393,376.8321004420582
2020-10-07,399.96436214004314,309.1706790490892,267.7725771990711
2020-10-08,254.28694866138753,251.49306689354145,188.4519687300893
2020-10-09,186.68843229797665,,156.07972896952612
2020-10-12,235.17659161632963,220.157311584022,362.55709730056526
2020-10-13,402.44635936384435,300.780626530666,267.85076756341505
2020-10-14,251.85612676453525,244.4887724098353,247.65730841284397
2020-10-15,171.51912977122305,198.84503141968003,377.7593387677405
2020-10-16,118.19048128237516,163.48706543196164,272.84187095489926
2020-10-19,116.68251545919857,132.93158719843314,210.54102397934423
2020-10-22,80.23035468609005,108.3420887187077,181.26945508678017
2020-10-23,61.30644699295766,89.35004612003608,173.50079069704248
2020-10-26,44.36272754439552,72.66148178475612,283.51343437905837
2020-10-27,36.61318744807506,59.1354995221354,248.5049614435516
2020-10-28,27.532931704138772,50.24834105018949,168.15740445728693
2020-10-29,27.520043931467058,44.237142512996364,129.30970049429567
2020-10-30,71.8813479364583,36.91319891147548,89.681865006536
2020-11-02,80.37144059922421,30.163261083238737,64.84373682790466
2020-11-03,124.2149370693062,37.664975737369474,51.33433989719729
2020-11-04,99.65645443182684,30.77092251067879,37.006673640544655
2020-11-05,79.07101630567233,27.777809338143623,32.39017250644562
2020-11-06,59.34596430138967,24.106983524304294,28.355844261355177
2020-11-09,45.81686396107008,21.914175662656312,22.430437646911862
2020-11-10,33.10874986057437,18.334974091537656,27.87958105800592
2020-11-11,98.34895555308003,15.946363528868542,29.30380506042546
2020-11-12,68.53799593354465,15.860736054036991,24.046484677058206
2020-11-13,55.708202828403465,14.298489672024441,26.74958019488037
2020-11-16,42.37642165169516,21.42599401298023,22.051879540601895
2020-11-19,31.352644576311985,28.030842327230047,19.578492907457868
2020-11-20,23.49009197616596,22.99681376479483,14.865065138035757
2020-11-23,18.557016458532217,19.96163745824168,28.519652742102352
2020-11-24,15.039073795163539,16.52565864842669,45.501909585972555
2020-11-25,15.637670420136864,18.073334025623705,37.907582801026145
