,M1_M2_spread,M2_M3_spread,M3_M4_spread
M1_M2_spread,1.0,0.6528468780006222,0.5993355370293043
M2_M3_spread,0.6528468780006222,1.0,0.9538197950039441
M3_M4_spread,0.5993355370293043,0.9538197950039441,1.0
