,M1-M2,M2-M3,M3-M4
データ数,1198.0,1198.0,1198.0
平均,-7.368263772954925,-6.462370617696155,-5.831569282136895
中央値,-5.0,-3.180000000000291,-2.25
標準偏差,42.93677279795217,21.83812725245168,18.220390045449406
最小値,-68.79000000000087,-55.44000000000051,-48.92000000000007
最大値,1060.0,106.0,42.0
Q1(25%),-30.875,-21.9375,-18.757500000000164
Q3(75%),4.0,3.0,3.5
歪度,13.550615544237733,0.17474796507166915,-0.37923512513985813
尖度,321.5406054136752,0.76799270695876,-0.28360829537811183
